"Keyword Version: static","Revision: 2022-01-10 17:52:40","Timestamp: 2022-01-19 17:23:35","Terms Of Use: https://cdn.earthdata.nasa.gov/conduit/upload/5182/KeywordsCommunityGuide_Baseline_v1_SIGNED_FINAL.pdf","The most up to date XML representations can be found here: https://gcmd.uat.earthdata.nasa.gov/kms/concepts/concept_scheme/platforms/?format=xml","Case native"
Basis,Category,Sub_Category,Short_Name,Long_Name,UUID
"Air-based Platforms","Balloons","","BALLOONS","","a1586112-38f5-461c-9e88-0a95cf62062c"
"Air-based Platforms","Balloons","","EOLE","","95707b1d-4451-4958-af57-0fdf70444cac"
"Air-based Platforms","Balloons","","MAXIS","MeV Auroral X-ray Imaging and Spectroscopy","a1cfc5a9-e688-4f2e-88b0-9d72d07ea41a"
"Air-based Platforms","Balloons","","PIBAL","Pilot Balloons","dbb82f09-3a6f-4840-b1a9-c4acc3f6bbe8"
"Air-based Platforms","Balloons","","RADIOSONDES","","2516981b-e560-479d-ba96-f8edfb54efe9"
"Air-based Platforms","Balloons","","","","90077852-8e6b-4f16-92b3-24a52eecdd4a"
"Air-based Platforms","Dropwindsondes","","DROPWINDSONDES","","fa514134-ff56-47d1-bc02-6b8568ad21e7"
"Air-based Platforms","Dropwindsondes","","","","2f8b489b-a1d3-43ff-baf4-935ceac2c4d4"
"Air-based Platforms","Jet","","A340-600","Airbus A340-600","bab77f95-aa34-42aa-9a12-922d1c9fae63"
"Air-based Platforms","Jet","","Alpha","H211 Alpha Jet","4595fee4-25d7-41f3-abe0-73203138c243"
"Air-based Platforms","Jet","","CESSNA CITATION II","","80b0db4e-1a31-4b54-b61f-f4bd9f17d96a"
"Air-based Platforms","Jet","","CONVAIR-990","CONVAIR-990 CORONADO","fc0c7954-fdd2-4a16-905e-d3688dfc9be1"
"Air-based Platforms","Jet","","CORSAIR 131A","","ee4eccba-83d0-4ba5-83f4-8e366712b44f"
"Air-based Platforms","Jet","","DC-6","Douglas DC-6","1dea03cc-d165-4f61-9a8c-b624b981f36a"
"Air-based Platforms","Jet","","DLR-Falcon","DLR-Falcon 20 Aircraft","0c31ed1c-8ec6-4f7c-ac27-23fb428b7415"
"Air-based Platforms","Jet","","G-III","Gulfstream III","a7b0e975-f965-4f8f-aa85-68aeae48ffb1"
"Air-based Platforms","Jet","","G-II","GULFSTREAM II","e9b3e773-5a35-4793-9683-737a9dc82524"
"Air-based Platforms","Jet","","G-IV","GULFSTREAM IV","aad5d9e8-7e22-4abc-a8c3-9cdc7578bca6"
"Air-based Platforms","Jet","","G-I","GULFSTREAM I","38f334bd-7507-43ed-8b45-d1c8ac2379a2"
"Air-based Platforms","Jet","","G-LiHT","Goddard’s LiDAR, Hyperspectral and Thermal (G-LiHT) airborne imaging system","f4dbe34b-a93e-439f-bdbb-4167c833aba6"
"Air-based Platforms","Jet","","G-V","Gulfstream V","924c4b23-30f0-451f-baa2-b6de47c94e58"
"Air-based Platforms","Jet","","HU-25A","Dassault HU-25A Guardian","d77685bd-aa94-4717-bd97-632699d999b5"
"Air-based Platforms","Jet","","HU-25C","Dassault HU-25C Guardian","47b6caf1-e14c-458c-84a1-ec64cf29b534"
"Air-based Platforms","Jet","","J-31","J-31 aircraft","293eba8a-cae4-4505-9c59-d1e223990ea4"
