ConceptId,ProviderId,DataCenter,VersionId,MetadataFormat
C1214557728-NOAA_NCEI,NOAA_NCEI,DOC/NOAA/NESDIS/NCEI,1.0,dif
C1214561549-NOAA_NCEI,NOAA_NCEI,DOC/NOAA/NESDIS/NGDC,Not provided,dif
C1215196889-NOAA_NCEI,NOAA_NCEI,"WDC/PALEOCLIMATOLOGY, BOULDER",Not provided,dif
C1214560920-NOAA_NCEI,NOAA_NCEI,DOC/NOAA/NESDIS/NGDC,Not provided,dif
C1215201855-NOAA_NCEI,NOAA_NCEI,DOC/NOAA/NESDIS/NCEI,1,dif
C1214563035-NOAA_NCEI,NOAA_NCEI,DOC/NOAA/NESDIS/NGDC,Not provided,dif
C1214559492-NOAA_NCEI,NOAA_NCEI,DOC/NOAA/NESDIS/NGDC,Not provided,dif
C1214561152-NOAA_NCEI,NOAA_NCEI,DOC/NOAA/NESDIS/NGDC,Not provided,dif
C1214566209-NOAA_NCEI,NOAA_NCEI,DOC/NOAA/NESDIS/NGDC,Not provided,dif
C1214558020-NOAA_NCEI,NOAA_NCEI,DOC/NOAA/NESDIS/NCEI,Not provided,dif
C1214557892-NOAA_NCEI,NOAA_NCEI,DOC/NOAA/NESDIS/NCEI,Not provided,dif
C1380976174-NOAA_NCEI,NOAA_NCEI,DOC/NOAA/NESDIS/NCEI,Not provided,dif
C1214559230-NOAA_NCEI,NOAA_NCEI,DOC/NOAA/NESDIS/NGDC,Not provided,dif
C1214562230-NOAA_NCEI,NOAA_NCEI,DOC/NOAA/NESDIS/NGDC,Not provided,dif
C1214559740-NOAA_NCEI,NOAA_NCEI,DOC/NOAA/NESDIS/NGDC,Not provided,dif
C1214558671-NOAA_NCEI,NOAA_NCEI,DOC/NOAA/NESDIS/NCEI,2005,dif
C1214559715-NOAA_NCEI,NOAA_NCEI,DOC/NOAA/NESDIS/NGDC,Not provided,dif
C1214558769-NOAA_NCEI,NOAA_NCEI,DOC/NOAA/NESDIS/NGDC,Not provided,dif
C1214557621-NOAA_NCEI,NOAA_NCEI,DOC/NOAA/NESDIS/NODC/LISD,Not provided,dif
C1214558718-NOAA_NCEI,NOAA_NCEI,DOC/NOAA/NESDIS/NGDC,Not provided,dif
C1214561389-NOAA_NCEI,NOAA_NCEI,DOC/NOAA/NESDIS/NGDC,Not provided,dif
C1215196687-NOAA_NCEI,NOAA_NCEI,"WDC/PALEOCLIMATOLOGY, BOULDER",Not provided,dif
C1214559265-NOAA_NCEI,NOAA_NCEI,DOC/NOAA/NESDIS/NGDC,Not provided,dif
C1214559557-NOAA_NCEI,NOAA_NCEI,DOC/NOAA/NESDIS/NGDC,Not provided,dif
C1214564827-NOAA_NCEI,NOAA_NCEI,DOC/NOAA/NESDIS/NCDC,Not provided,dif
C1214559724-NOAA_NCEI,NOAA_NCEI,DOC/NOAA/NESDIS/NGDC,Not provided,dif
C1214560876-NOAA_NCEI,NOAA_NCEI,DOC/NOAA/NESDIS/NGDC,Not provided,dif
C1214559636-NOAA_NCEI,NOAA_NCEI,DOC/NOAA/NESDIS/NGDC,Not provided,dif
C1214562847-NOAA_NCEI,NOAA_NCEI,DOC/NOAA/NESDIS/NGDC,Not provided,dif
C1214567073-NOAA_NCEI,NOAA_NCEI,DOC/NOAA/NESDIS/NGDC,Not provided,dif
C1214557735-NOAA_NCEI,NOAA_NCEI,DOC/NOAA/NESDIS/NCEI,First,dif
C1215199886-NOAA_NCEI,NOAA_NCEI,"WDC/PALEOCLIMATOLOGY, BOULDER",Not provided,dif
C1214562661-NOAA_NCEI,NOAA_NCEI,DOC/NOAA/NESDIS/NGDC,Not provided,dif
C1214559052-NOAA_NCEI,NOAA_NCEI,DOC/NOAA/NESDIS/NGDC,Not provided,dif
C1214558417-NOAA_NCEI,NOAA_NCEI,DOC/NOAA/NESDIS/NCEI,Not provided,dif
C1214559177-NOAA_NCEI,NOAA_NCEI,DOC/NOAA/NESDIS/NGDC,Not provided,dif
C1214560904-NOAA_NCEI,NOAA_NCEI,DOC/NOAA/NESDIS/NGDC,Not provided,dif
C1214051844-SCIOPS,SCIOPS,UCAR/NCAR/CISL/RDA,Not provided,dif
C1214605476-SCIOPS,SCIOPS,USAP/DCC,Not provided,dif
C1214606743-SCIOPS,SCIOPS,JGOFS/US_JGOFS,Not provided,dif
C1214585024-SCIOPS,SCIOPS,DOE/ORNL/ESD/CDIAC,Not provided,dif
C1214598178-SCIOPS,SCIOPS,UNIV LYON 1/LPI/CM,Not provided,dif
C1214611282-SCIOPS,SCIOPS,UNEP/GRID-KATHMANDU,Not provided,dif
C1214055330-SCIOPS,SCIOPS,UCAR/NCAR/CISL/RDA,Not provided,dif
C1214591621-SCIOPS,SCIOPS,NZ/NZAI/ANZ,Not provided,dif
C1214614056-SCIOPS,SCIOPS,OR/ODFW/NRIMP,Not provided,dif
C1214612067-SCIOPS,SCIOPS,NASA/GSFC/SED/ESD/GISS,Not provided,dif
C1214053453-SCIOPS,SCIOPS,UCAR/NCAR/CISL/RDA,Not provided,dif
C1214592035-SCIOPS,SCIOPS,NZ/NZAI/ANZ,Not provided,dif
C1214613813-SCIOPS,SCIOPS,"WDC/RADIATION, ST. PETERSBURG",Not provided,dif
C1214595144-SCIOPS,SCIOPS,COLUMBIA/LDEO/MGDS,Not provided,dif
C1214136220-SCIOPS,SCIOPS,DHHS/NIH/NLM/NCBI/GB,Not provided,dif
C1214155465-SCIOPS,SCIOPS,ICSU/SCAR/SCAR-MARBIN,Not provided,dif
C1214607553-SCIOPS,SCIOPS,USDA/ARS/PSWMRL,Not provided,dif
C1214591461-SCIOPS,SCIOPS,IOBIS,Not provided,dif
C1214606781-SCIOPS,SCIOPS,USDA/FS/NCRS,Not provided,dif
C1214598673-SCIOPS,SCIOPS,KR/KOPRI,Not provided,dif
C1214587211-SCIOPS,SCIOPS,UNEP/DEWA,Not provided,dif
C1214424675-SCIOPS,SCIOPS,DOC/NOAA/OAR/AOML,Not provided,dif
C1295206753-SCIOPS,SCIOPS,JP/GSI/GOC,Not provided,dif
C1214585778-SCIOPS,SCIOPS,AR/CEADO,Not provided,dif
C1214600228-SCIOPS,SCIOPS,KR/KOPRI,Version 1.0,dif
C1214605588-SCIOPS,SCIOPS,JGOFS/US_JGOFS,Not provided,dif
C1214614106-SCIOPS,SCIOPS,TAMU/OCEAN,Not provided,dif
C1214591560-SCIOPS,SCIOPS,NZ/NZAI/ANZ,Not provided,dif
C1214155427-SCIOPS,SCIOPS,GLOBEC/US_GLOBEC,Not provided,dif
C1214607106-SCIOPS,SCIOPS,CA/NB/ELG,Not provided,dif
C1385490055-SCIOPS,SCIOPS,USAP-DC,Not provided,dif
C1214587422-SCIOPS,SCIOPS,UMICH-FLINT/ERS,Not provided,dif
C1214592172-SCIOPS,SCIOPS,MA/MASSGIS,Not provided,dif
C1443544254-SCIOPS,SCIOPS,ISC-SASK,4.0,dif10
C1214586562-SCIOPS,SCIOPS,UC-DAVIS/CAES/LAWR/ATMO,Not provided,dif
C1214587064-SCIOPS,SCIOPS,DOI/USGS/WRD/NHVWSC,Not provided,dif
C1214613149-SCIOPS,SCIOPS,IE/EPA,Not provided,dif
C1214599975-SCIOPS,SCIOPS,UK/NERC/BAS/AEDC,Not provided,dif
C1214591362-SCIOPS,SCIOPS,NZ/NZAI/ANZ,Not provided,dif
C1214154963-SCIOPS,SCIOPS,LTER/GCE,Not provided,dif
C1214155155-SCIOPS,SCIOPS,GLOBEC/US_GLOBEC,Not provided,dif
C1214607711-SCIOPS,SCIOPS,CA/NRCAN/ESS/GSC/ATL,Not provided,dif
C1214607997-SCIOPS,SCIOPS,UMD/GLCF,Not provided,dif
C1214586117-SCIOPS,SCIOPS,MERI,Not provided,dif
C1214599913-SCIOPS,SCIOPS,UNEP/DEWA/GRID-EUROPE,Not provided,dif
C1214106173-SCIOPS,SCIOPS,UCAR/NCAR/CISL/RDA,Not provided,dif
C1214592107-SCIOPS,SCIOPS,MA/MASSGIS,Not provided,dif
C1214608387-SCIOPS,SCIOPS,DOI/USGS/CMG/WHSC,Not provided,dif
C1214600574-SCIOPS,SCIOPS,ACADIS,Not provided,dif
C1214610324-SCIOPS,SCIOPS,NM-STATE/CAHE/AGHORT,Not provided,dif
C1214589954-SCIOPS,SCIOPS,NZ/NZAI/ANZ,Not provided,dif
C1214138088-SCIOPS,SCIOPS,DHHS/NIH/NLM/SIS,Not provided,dif
C1214155229-SCIOPS,SCIOPS,EU/JRC/IES/LMU/ESDAC,2.0,dif
C1214610485-SCIOPS,SCIOPS,JP/GSI,Not provided,dif
C1214593968-SCIOPS,SCIOPS,NASA/GSFC/SED/ESD/LA/ACDB,Not provided,dif
C1214612993-SCIOPS,SCIOPS,UNEP/WCMC/PAP,Not provided,dif
C1214428974-SCIOPS,SCIOPS,DOC/NOAA/OAR/ESRL/PSD/CAB,Not provided,dif
C1214611035-SCIOPS,SCIOPS,PANGAEA,Not provided,dif
C1214610706-SCIOPS,SCIOPS,CA/NRCAN/ESS/GC/ATS,Not provided,dif
C1214585839-SCIOPS,SCIOPS,JP/KPFES,Not provided,dif
C1214598523-SCIOPS,SCIOPS,KR/KOPRI,Not provided,dif
C1214155230-SCIOPS,SCIOPS,GOMC,Not provided,dif
C1214155478-SCIOPS,SCIOPS,UEA/SES/SOLAS,Not provided,dif
C1214598970-SCIOPS,SCIOPS,KR/KOPRI,Not provided,dif
C1214612179-SCIOPS,SCIOPS,IL/ISA/MEIDA,Not provided,dif
C1214591263-SCIOPS,SCIOPS,NZ/NZAI/ANZ,Not provided,dif
C1214610362-SCIOPS,SCIOPS,USDA/NASS,Not provided,dif
C1214584300-SCIOPS,SCIOPS,COLUMBIA/LDEO/IRI/CDL,Not provided,dif
C1381760732-SCIOPS,SCIOPS,AU/AADC,Not provided,dif
C1214602183-SCIOPS,SCIOPS,ACADIS,Not provided,dif
C1214606703-SCIOPS,SCIOPS,HP/HPRCC,Not provided,dif
C1214614748-SCIOPS,SCIOPS,IU/GEOG,Not provided,dif
C1214591472-SCIOPS,SCIOPS,DOI/USGS/SESC/SOFIA,Not provided,dif
C1214591014-SCIOPS,SCIOPS,NZ/NZAI/ANZ,Not provided,dif
C1214584326-SCIOPS,SCIOPS,DOI/BLM/ORWA/GIS,Not provided,dif
C1214613989-SCIOPS,SCIOPS,DOI/USGS/GD/PUBS/WR/GEOPUBS,Version 1.0,dif
C1214585949-SCIOPS,SCIOPS,EPA/ORD/NHERRL/AED,Not provided,dif
C1214600019-SCIOPS,SCIOPS,UK/NERC/BAS/AEDC,Not provided,dif
C1214586944-SCIOPS,SCIOPS,MBG,Not provided,dif
C1214056461-SCIOPS,SCIOPS,UCAR/NCAR/CISL/RDA,Not provided,dif
C1214594976-SCIOPS,SCIOPS,IOBIS,1.0,dif
C1214595229-SCIOPS,SCIOPS,UMT,dev1.0,dif
C1214614230-SCIOPS,SCIOPS,IL/DNR/GS,1.0,dif
C1214584313-SCIOPS,SCIOPS,UCAR/NCAR/EOL/CODIAC,Not provided,dif
C1214155007-SCIOPS,SCIOPS,LTER/GCE,Not provided,dif
C1219899492-SCIOPS,SCIOPS,NSIDC,Not provided,dif
C1214155414-SCIOPS,SCIOPS,BIOVERSITY,Not provided,dif
C1214600549-SCIOPS,SCIOPS,ACADIS,Not provided,dif
C1214612191-SCIOPS,SCIOPS,USDA/FS/NERS,Not provided,dif
C1214612313-SCIOPS,SCIOPS,UC-DAVIS/ANR/IPM,Not provided,dif
C1214594136-SCIOPS,SCIOPS,NZ/NZAI/ANZ,Not provided,dif
C1405946940-SCIOPS,SCIOPS,NSIDC_AGDC,1,dif
C1214604121-SCIOPS,SCIOPS,DOI/USGS/SESC/SOFIA,Not provided,dif
C1214621661-SCIOPS,SCIOPS,NZ/NZAI/ANZ,Not provided,dif
C1214610322-SCIOPS,SCIOPS,USDA/FS/RMRS,Not provided,dif
C1214608783-SCIOPS,SCIOPS,CA/NRCAN/ESS/GC/ATS,Not provided,dif
C1214591447-SCIOPS,SCIOPS,NSIDC,12_03_2008,dif
C1214597283-SCIOPS,SCIOPS,IOBIS/OBIS-US,Not provided,dif
C1214585813-SCIOPS,SCIOPS,BROWN/GEO,Not provided,dif
C1214594385-SCIOPS,SCIOPS,"WDC/IONOSPHERE, TOKYO",Not provided,dif
C1214595131-SCIOPS,SCIOPS,UNIPI/DCCI,Not provided,dif
C1214594198-SCIOPS,SCIOPS,COLUMBIA/LDEO/MGDS,Not provided,dif
C1214584238-SCIOPS,SCIOPS,UCAR/NCAR/EOL/CODIAC,Not provided,dif
C1214613048-SCIOPS,SCIOPS,DOI/USGS/GD/PUBS/WR/GEOPUBS,Not provided,dif
C1214615471-SCIOPS,SCIOPS,SYRACUSE/ES/TGIGRG,Not provided,dif
C1214600242-SCIOPS,SCIOPS,NL/RIVM,Not provided,dif
C1214615187-SCIOPS,SCIOPS,USDA/FAS/PECAD,Not provided,dif
C1214608718-SCIOPS,SCIOPS,COLUMBIA/LDEO/IRI/CDL,Version 1,dif
C1214587398-SCIOPS,SCIOPS,COLUMBIA/LDEO/MGDS,Not provided,dif
C1214592851-SCIOPS,SCIOPS,DOI/USGS/BRD/LSC,Not provided,dif
C1214611640-SCIOPS,SCIOPS,SMLTD,Not provided,dif
C1214594482-SCIOPS,SCIOPS,UK/NERC/BAS/PDC,Not provided,dif
C1214610533-SCIOPS,SCIOPS,UK/DARDNI,Not provided,dif
C1214594321-SCIOPS,SCIOPS,COLUMBIA/LDEO/MGDS,Not provided,dif
C1214136062-SCIOPS,SCIOPS,DHHS/NIH/NLM/NCBI/GB,Not provided,dif
C1214605760-SCIOPS,SCIOPS,JGOFS/US_JGOFS,Not provided,dif
C1214613851-SCIOPS,SCIOPS,UCAR/NCAR/CISL/VETS/CDP,Not provided,dif
C1214600611-SCIOPS,SCIOPS,ACADIS,Not provided,dif
C1214591597-SCIOPS,SCIOPS,MA/CZM,Not provided,dif
C1214155577-SCIOPS,SCIOPS,ICSU/SCAR/SCAR-MARBIN,Not provided,dif
C1214612016-SCIOPS,SCIOPS,U-NCL/EDDI,Not provided,dif
C1450836618-SCIOPS,SCIOPS,COLUMBIA/LDEO/MGDS,Not provided,dif10
